Maximum_speed (km/h),Average_speed (km/h),Std_speed,Avg_acc (m/s^2),Std_acc,Mean_pos_acc,Mean_neg_acc,Avg_abs_jerk,Std_abs_jerk,Brake_time_pct,Acc_time_pct,Decel_time_pct,Const_speed_pct
81.31,48.97,17.21,0.79,0.51,1.43,-1.02,2.15,0.84,19.01,27.08,28.15,48.64
65.94,39.12,16.76,-0.22,0.59,1.08,-1.54,1.47,1.1,23.43,30.86,23.93,42.86
105.89,81.13,11.69,-0.3,0.3,1.63,-1.15,2.09,1.1,15.06,33.73,26.66,40.58
63.62,37.9,14.74,-0.42,0.5,1.55,-1.42,2.0,0.94,14.98,34.45,21.67,44.19
48.14,25.81,12.59,2.13,0.54,1.26,-1.29,1.59,1.09,20.15,30.63,19.24,47.93
93.04,78.27,7.31,-0.09,0.72,1.55,-1.51,2.69,1.58,4.45,28.12,18.29,50.11
76.76,49.77,9.19,0.85,0.83,0.88,-1.78,2.74,1.07,29.65,30.56,24.02,42.81
78.3,68.37,14.84,0.56,0.59,0.89,-0.56,2.19,1.08,13.56,24.01,27.51,50.31
105.68,81.96,27.87,0.7,0.54,1.44,-0.87,7.5,0.66,50.51,39.97,15.43,46.26
47.79,26.19,6.89,-0.43,0.89,1.03,-1.09,2.63,0.33,18.99,30.68,21.85,46.44
85.69,61.79,6.78,0.3,0.89,0.65,-1.86,1.58,0.53,5.32,30.14,21.46,43.93
63.34,48.09,10.39,-0.31,0.52,1.65,-2.1,2.77,1.0,15.45,32.09,28.07,39.62
81.37,43.05,13.04,0.1,0.64,1.42,-0.86,4.02,0.51,13.94,30.28,24.45,43.81
73.67,65.77,27.68,-0.97,0.33,0.9,-1.17,5.94,1.21,29.72,29.84,28.01,39.97
88.22,68.2,17.15,0.99,1.03,0.88,-1.79,2.7,1.41,12.28,33.27,28.72,41.2
102.86,88.62,6.92,0.44,0.39,1.4,-1.3,1.68,0.88,4.03,28.17,26.12,45.93
92.03,71.6,12.77,0.29,0.83,1.28,-2.3,2.91,0.75,9.9,32.25,31.64,39.29
81.93,69.3,11.29,-1.41,0.57,0.66,-1.57,2.69,0.52,7.71,24.34,24.67,51.63
62.97,52.13,22.15,0.02,0.73,1.46,-1.01,6.18,0.68,23.27,19.96,28.67,48.37
85.22,57.45,13.59,0.25,0.41,1.76,-1.52,1.62,0.73,15.09,21.99,26.0,51.84
72.49,57.92,10.38,0.79,0.71,0.78,-1.35,3.11,0.29,14.85,27.08,28.05,44.65
49.23,33.8,8.32,-1.72,0.45,1.45,-1.2,2.76,0.64,22.2,28.28,28.76,43.11
109.33,67.06,7.03,0.84,0.76,1.27,-0.82,1.74,0.87,15.29,26.09,24.55,47.77
108.35,59.57,10.76,0.81,0.42,1.47,-2.05,2.95,1.37,17.16,26.4,17.52,55.51
123.8,99.93,7.52,0.82,1.07,1.36,-1.01,1.38,1.17,4.65,37.84,14.87,45.46
106.45,97.09,7.47,2.26,0.61,1.19,-1.3,1.6,0.73,4.02,30.35,26.13,43.46
116.28,61.94,5.76,-0.4,0.59,1.1,-1.5,0.63,0.67,11.22,33.54,20.93,47.51
70.07,42.57,6.42,-0.81,0.95,0.37,-2.1,2.57,0.8,24.06,29.58,22.13,46.52
77.7,53.68,14.92,0.57,0.64,1.63,-2.09,3.33,0.25,9.42,28.02,25.69,46.68
57.98,40.11,12.08,-1.16,0.79,1.02,-1.48,2.55,0.73,20.93,32.18,19.29,49.33
125.23,83.32,3.37,0.16,0.73,1.23,-1.53,1.37,1.12,11.08,30.68,31.78,38.0
77.39,65.29,11.89,1.15,0.44,0.95,-0.06,3.21,0.88,16.82,22.5,23.54,55.88
89.51,57.4,12.15,0.58,0.66,2.2,-0.99,1.99,0.64,12.71,23.2,28.89,50.29
79.5,55.26,18.15,-0.88,0.47,1.22,-2.23,2.16,0.9,16.93,32.2,33.26,36.89
111.38,89.72,8.96,-0.12,0.63,1.64,-1.46,1.57,0.38,10.47,30.23,30.54,38.78
64.81,53.53,13.33,0.09,0.2,1.44,-1.83,1.19,0.67,11.68,26.61,25.49,49.31
59.31,42.6,34.95,-0.08,0.7,1.15,-1.43,6.48,1.02,31.2,33.37,27.6,39.29
69.29,47.82,4.65,1.02,0.37,1.33,-1.47,2.38,0.62,14.4,25.64,34.33,42.07
69.89,49.87,11.64,-0.31,0.71,1.41,-1.7,3.15,1.1,12.01,31.37,22.0,47.86
106.74,78.61,8.67,-0.01,0.26,1.33,-1.64,1.16,1.24,4.49,22.96,26.71,49.35
114.77,75.4,7.89,1.11,0.68,1.02,-1.69,0.77,1.18,0.76,32.4,23.14,44.8
77.48,63.45,17.39,0.47,0.9,1.13,-1.42,2.34,0.64,17.15,29.48,27.18,43.2
92.9,73.05,14.87,1.76,0.54,1.31,-1.82,5.49,0.89,20.08,38.58,22.5,41.19
123.35,99.1,5.06,0.74,0.73,1.74,-1.18,1.59,0.49,0.92,22.57,21.24,53.52
80.76,60.24,16.22,0.64,0.73,1.57,-1.64,2.7,0.8,8.41,31.54,26.98,41.25
105.17,86.48,9.64,1.37,0.58,0.94,-1.37,1.84,0.87,6.79,31.54,21.99,46.64
112.64,90.89,7.81,0.09,0.58,1.17,-1.8,3.19,0.61,1.62,28.54,34.13,36.67
84.37,46.16,9.75,-0.31,0.72,1.64,-1.31,2.88,1.38,14.58,22.43,25.73,52.86
108.18,99.84,8.26,0.81,0.61,1.68,-0.93,1.68,0.67,4.86,34.46,29.18,37.83
73.96,56.14,16.06,0.43,0.66,0.94,-1.84,2.28,0.57,13.71,25.74,25.95,44.99
62.78,56.23,6.91,-0.31,0.02,1.27,-1.41,1.79,0.98,16.07,27.05,30.53,45.26
101.4,67.3,14.48,-0.94,0.57,0.77,-0.4,1.86,1.03,7.73,20.34,24.66,54.57
63.78,42.18,8.97,-1.62,0.63,1.31,-1.87,1.63,0.31,24.29,26.81,25.16,45.43
88.33,57.35,16.08,0.76,0.84,1.02,-1.03,2.85,0.61,11.4,31.27,24.56,46.23
107.31,88.77,6.48,-0.8,0.26,0.42,-1.64,1.66,0.67,8.21,32.6,26.34,42.03
102.38,76.81,12.05,-0.22,0.71,1.61,-1.28,2.81,1.38,13.77,40.45,27.23,31.74
100.94,77.67,7.53,0.22,0.42,1.48,-1.22,1.89,0.51,8.09,29.92,20.93,47.23
99.27,75.55,11.15,-0.29,0.77,1.23,-2.05,2.5,0.61,16.89,35.89,12.14,50.77
83.44,50.24,7.94,-0.74,0.49,1.54,-0.36,2.55,1.12,7.45,29.15,27.71,46.31
84.95,48.54,9.48,0.02,0.68,1.63,-0.86,3.66,0.7,13.36,30.78,14.05,57.11
70.3,51.64,9.25,-0.05,0.53,1.0,-1.61,2.12,1.12,25.93,26.85,25.4,47.98
123.09,74.22,9.96,-0.19,0.4,1.28,-2.21,1.71,0.73,5.13,23.75,30.84,46.95
101.28,65.55,11.28,0.73,0.8,1.02,-1.22,1.92,0.64,8.71,31.41,27.47,40.66
50.32,41.68,13.09,0.35,0.51,1.36,-1.19,2.53,1.16,23.09,31.51,28.17,40.68
112.74,77.21,7.74,0.3,0.68,0.92,-1.97,0.62,0.7,8.41,24.45,27.43,49.42
118.64,88.69,1.22,-1.57,0.75,1.02,-1.23,1.83,0.82,5.12,28.27,26.77,42.82
75.34,45.85,14.54,-0.51,0.7,1.61,-1.82,2.69,1.02,7.92,31.87,24.04,44.52
116.83,80.27,4.55,-0.6,0.75,0.78,-1.27,1.27,0.08,15.33,27.43,28.1,44.02
64.88,34.52,11.3,-0.42,0.64,1.7,-0.36,2.57,0.75,20.87,33.26,22.51,44.31
82.12,49.41,12.65,1.52,0.77,1.1,-0.81,0.79,0.61,11.56,27.41,26.24,46.1
66.53,38.64,6.87,-0.33,1.17,1.04,-0.33,3.06,1.04,18.45,27.15,25.1,48.62
94.79,60.64,4.34,-0.05,0.73,1.72,-1.9,1.05,0.77,2.16,22.42,25.73,48.95
61.53,38.63,11.44,0.37,0.62,1.54,-0.52,1.37,0.96,19.57,29.84,17.62,51.83
110.63,74.58,11.01,-0.77,0.73,1.06,-1.2,3.6,0.37,9.62,30.93,28.33,41.55
55.07,40.6,20.53,-0.02,0.85,1.03,-1.48,3.64,1.18,23.72,24.06,26.53,47.41
87.78,46.66,14.44,0.77,0.67,0.93,-1.46,3.24,1.07,14.76,31.39,24.0,45.1
76.4,41.63,11.35,-0.37,0.39,0.93,-1.74,1.99,0.76,25.1,29.59,31.0,37.64
116.46,63.46,11.8,-0.4,0.76,0.45,-1.27,1.73,0.53,6.7,31.37,31.36,39.07
84.02,55.6,16.2,0.91,0.78,1.67,-1.28,2.73,0.61,21.65,31.63,27.83,41.44
104.95,67.39,4.79,0.49,0.43,0.81,-1.84,0.54,1.23,7.04,31.29,22.19,45.79
99.58,86.18,14.26,0.39,0.84,0.87,-1.41,2.82,0.75,7.76,39.16,23.65,34.73
68.99,46.59,11.88,0.21,0.64,0.72,-0.97,2.19,0.73,30.83,31.76,19.0,44.77
93.02,60.38,6.7,0.4,0.78,1.0,-2.41,0.02,0.63,8.38,29.06,19.96,52.32
75.57,61.18,24.09,0.13,0.36,0.83,-1.65,9.1,1.1,36.89,23.59,23.24,51.51
66.41,50.81,6.45,1.01,0.48,1.48,-0.31,3.34,0.46,27.85,32.12,22.4,45.72
107.97,75.38,9.13,-0.09,0.68,1.15,-1.59,2.58,0.65,2.78,30.47,25.21,45.26
55.19,29.71,13.89,-0.73,0.75,1.33,-0.44,2.0,1.12,11.63,26.66,27.27,45.3
60.58,49.68,8.73,0.22,0.4,0.29,-1.43,3.43,1.12,25.87,27.98,27.51,45.15
57.19,49.34,11.41,0.55,0.74,0.83,-1.42,3.66,1.31,25.66,28.56,26.79,47.58
80.61,54.26,10.22,-0.63,0.33,0.57,-1.84,2.05,1.21,16.37,22.49,20.67,58.88
59.59,50.17,9.87,1.5,0.38,0.54,-0.9,1.92,0.26,13.6,34.28,19.12,47.01
113.95,87.35,3.51,0.62,0.68,1.42,-0.61,2.22,1.14,8.9,32.06,18.97,50.17
89.72,64.03,13.99,-0.59,0.69,1.46,-0.95,1.73,1.29,25.01,33.24,26.06,40.13
79.45,54.09,14.29,0.86,0.4,0.54,-0.27,2.83,0.82,21.4,24.49,25.51,52.95
98.49,56.97,16.67,1.2,0.33,0.65,-1.6,1.97,1.0,4.02,29.65,26.08,45.33
37.95,23.11,8.98,0.3,0.96,1.09,-1.5,1.86,0.72,21.51,25.67,19.49,54.68
76.72,56.47,10.72,-0.41,0.7,0.88,-1.1,1.52,0.79,29.58,18.61,30.9,50.81
59.25,38.55,14.65,-0.02,0.78,1.34,-1.3,2.64,0.65,17.23,26.37,21.66,49.94
110.38,63.88,9.61,1.38,0.75,1.57,-1.35,2.66,0.89,9.93,35.07,25.81,38.09
61.85,49.39,7.65,-0.88,0.59,1.31,-1.03,3.46,0.66,19.79,33.68,30.15,39.01
51.44,38.25,12.82,-1.08,0.64,1.13,-1.72,2.2,0.67,27.13,28.76,23.86,44.45
87.21,56.08,4.24,1.32,0.71,1.63,-2.24,2.39,0.94,16.39,34.84,30.15,37.01
76.66,49.95,18.39,0.21,0.82,1.8,-0.96,2.21,1.17,28.88,29.45,18.02,51.96
64.16,39.59,16.92,0.15,0.51,1.32,-0.88,1.57,0.94,30.03,27.73,31.57,44.5
65.17,38.28,6.61,-0.17,0.47,1.63,-0.82,1.82,0.69,8.52,35.94,19.77,42.23
113.62,89.66,6.73,0.1,0.47,1.94,-1.14,2.96,1.08,3.74,35.76,28.96,35.62
110.89,71.27,13.42,1.56,1.09,1.14,-1.4,0.28,1.28,3.55,32.37,21.32,46.6
100.69,56.74,9.83,-0.09,0.69,1.37,-1.48,2.57,1.03,4.12,27.04,23.92,49.3
103.75,60.6,9.93,-0.66,1.11,1.24,-1.32,3.14,0.59,12.39,29.73,21.16,51.0
66.73,58.29,9.03,-0.32,0.58,1.77,-1.34,2.03,0.42,23.79,33.05,30.13,39.72
64.19,41.64,15.47,-0.18,0.7,1.07,-1.42,1.61,0.82,4.98,30.75,17.84,55.4
74.68,46.81,10.02,-0.48,0.23,1.35,-2.23,2.47,0.25,16.86,25.66,22.07,49.1
92.29,56.2,12.14,-0.35,0.68,2.1,-0.44,2.96,0.77,11.54,29.32,24.37,45.4
60.81,36.55,11.99,1.21,0.51,1.06,-1.8,1.0,0.66,25.02,33.69,22.84,43.34
75.29,62.18,7.07,1.35,0.51,1.06,-0.77,1.1,1.2,19.61,32.4,24.1,47.61
98.98,74.48,6.31,-0.39,0.95,1.52,-1.55,1.61,0.71,15.21,38.22,18.86,45.03
111.62,95.47,12.35,-0.19,0.59,1.05,-1.86,2.26,0.95,6.36,32.82,24.85,38.58
124.7,101.29,10.97,-0.28,0.57,1.26,-1.02,2.3,0.77,12.02,28.02,20.87,51.29
91.26,75.63,11.4,-0.51,0.76,1.07,-0.15,2.1,0.48,7.05,22.56,25.32,50.52
101.53,58.13,10.22,1.03,0.72,1.62,-1.57,1.68,0.69,7.63,34.98,17.78,47.15
61.64,50.64,14.68,0.62,0.92,1.28,-1.66,1.87,0.99,19.47,25.05,26.18,45.11
142.23,84.31,1.72,-0.05,0.6,1.13,-1.09,1.5,0.73,11.29,24.39,27.23,47.35
124.72,100.1,9.55,1.0,0.7,1.31,-0.87,0.89,1.14,13.34,31.64,25.92,40.16
112.96,102.5,8.36,0.69,1.2,1.3,-0.89,2.72,0.32,7.2,29.12,26.11,45.75
56.5,37.54,15.27,1.06,0.71,1.29,-2.08,2.4,0.45,21.07,38.14,19.58,42.84
69.01,46.81,13.81,0.85,0.62,1.37,-1.98,1.83,1.23,10.87,38.66,25.73,36.14
84.4,76.55,10.67,0.07,0.64,0.34,-1.53,1.73,0.46,4.97,25.86,21.93,50.38
99.2,68.07,16.26,1.11,0.49,0.9,-1.28,3.18,0.85,24.89,28.08,25.31,48.87
73.14,65.68,11.7,1.85,0.46,1.07,-2.31,1.89,0.64,5.04,35.43,26.48,39.95
95.2,71.18,4.18,1.32,0.7,0.6,-1.32,1.03,0.83,5.81,31.33,24.24,46.51
138.82,111.17,6.43,0.83,0.26,1.3,-1.47,1.64,0.69,6.68,28.22,27.24,41.26
126.37,99.76,16.3,0.05,0.53,1.73,-1.02,1.59,0.78,2.33,23.63,27.96,47.52
50.88,31.05,16.56,-0.74,0.07,1.01,-1.88,1.15,0.46,27.23,43.82,17.96,36.59
71.8,36.96,11.77,-1.32,0.6,1.51,-1.37,2.48,0.41,9.7,29.53,15.31,54.64
56.12,40.27,7.65,1.77,0.46,1.25,-0.58,2.46,0.57,8.3,31.97,26.84,38.19
104.65,76.91,13.75,-0.43,0.84,0.67,-1.06,2.53,0.82,8.87,29.53,26.55,43.77
74.73,60.94,15.46,-0.36,0.31,0.75,-1.27,1.92,0.72,13.48,33.71,21.7,44.14
97.84,71.52,13.48,0.78,0.69,1.18,-1.48,3.22,1.09,10.07,33.06,23.59,45.03
105.63,90.78,10.77,0.46,0.78,1.09,-1.84,3.64,0.55,15.73,30.01,26.18,44.91
82.01,57.51,17.0,1.37,0.52,1.34,-1.03,1.69,1.31,17.11,27.33,24.15,51.64
66.85,57.35,9.34,0.05,0.17,1.27,-2.11,1.32,0.65,17.99,35.4,22.88,42.91
57.55,31.86,15.9,-0.92,0.48,1.03,-1.74,1.62,0.55,10.61,28.2,27.87,42.07
106.11,79.86,9.43,-0.13,0.65,1.14,-1.34,1.26,0.72,7.27,29.4,24.11,44.54
47.71,28.72,11.77,0.67,0.55,1.34,-1.01,3.6,0.62,18.99,25.74,26.85,47.91
54.18,40.85,16.12,0.83,0.8,0.97,-1.28,1.29,0.64,13.82,36.23,20.55,41.88
83.54,70.02,16.2,1.4,1.08,0.98,-1.11,2.4,0.97,18.95,28.59,27.35,45.12
98.05,65.9,15.23,0.03,0.81,1.0,-1.39,2.87,1.01,22.4,27.45,28.72,44.95
121.1,86.0,0.25,-0.62,0.76,0.8,-1.17,2.19,0.43,5.79,35.74,26.54,38.65
125.34,95.95,7.31,0.49,0.35,1.05,-1.49,2.86,0.44,8.48,34.67,16.39,47.68
72.43,54.62,12.57,0.65,0.38,1.76,-2.09,5.24,0.48,19.12,21.62,31.91,44.66
115.8,80.68,15.68,0.48,0.55,0.56,-0.95,1.37,0.58,6.92,34.66,23.3,42.34
56.83,34.36,9.66,1.49,0.74,1.52,-0.61,1.59,0.05,13.62,31.21,27.22,40.68
106.14,81.24,8.64,-0.59,0.51,1.69,-1.44,2.17,0.84,11.55,27.54,20.64,48.71
118.61,66.88,8.5,1.21,0.57,1.58,-1.28,2.38,0.67,3.54,36.06,22.97,43.89
79.78,62.45,10.05,-0.7,0.47,1.78,-0.77,4.16,0.56,21.48,32.53,24.7,42.3
